algorithm,environment,repeat_window_size,evaluation_success_rate,evaluation_successful_episode_length,evaluation_failed_episode_length,evaluation_repeated_state_rate,evaluation_return,evaluation_inference_time
combined,custom_loop,10,0.03333333333333333,14.0,2.0,0.0,0.03333333333333333,1.0398681042715908e-05
combined,frozenlake_4x4,10,1.0,6.0,0.0,0.0,1.0,2.6121601287741216e-05
combined,frozenlake_8x8,10,0.9,14.37037037037037,5.0,0.0,0.9,5.5406085533710815e-05
combined,frozenlake_8x8_stochastic,10,0.008133333333333333,28.975409836065573,14.450329345342116,0.3413231662680875,0.008133333333333333,6.300671738184368e-05
ltm,custom_loop,10,0.03333333333333333,14.0,100.0,0.9666666666666667,0.03333333333333333,0.0003891033878006662
ltm,frozenlake_4x4,10,1.0,6.066666666666666,0.0,0.0,1.0,2.5352174738266815e-05
ltm,frozenlake_8x8,10,0.43333333333333335,14.461538461538462,100.0,0.5666666666666667,0.43333333333333335,0.00025261256928400447
ltm,frozenlake_8x8_stochastic,10,0.3032666666666667,66.4192130138492,89.22131853411157,0.6489863771891557,0.3032666666666667,0.00034843547739243756
qlearning,custom_loop,10,0.0,0.0,100.0,1.0,0.0,0.0003116673214943148
qlearning,frozenlake_4x4,10,1.0,6.0,0.0,0.0,1.0,1.810373062811171e-05
qlearning,frozenlake_8x8,10,0.16666666666666666,14.0,100.0,0.8333333333333334,0.16666666666666666,0.0002490032196782219
qlearning,frozenlake_8x8_stochastic,10,0.2622,65.74218154080855,86.41682479443391,0.6547785134288919,0.2622,0.0002458328489058961
stm,custom_loop,10,0.0,0.0,2.0,0.0,0.0,6.380456391101082e-06
stm,frozenlake_4x4,10,1.0,6.0,0.0,0.0,1.0,1.8357839458622038e-05
stm,frozenlake_8x8,10,0.6666666666666666,14.0,5.2,0.0,0.6666666666666666,3.308280874819805e-05
stm,frozenlake_8x8_stochastic,10,0.0044,25.954545454545453,13.871099504486407,0.3292413834405619,0.0044,4.2422602612835664e-05
