algorithm,environment,final_success_rate_mean,final_success_rate_std,final_success_rate_ci95,normalized_rolling_auc,evaluation_episode_length_mean,evaluation_repeated_state_rate_mean
combined,custom_loop,0.0333333333333333,0.1825741858350553,0.0653333333333333,0.0066079166666666,2.4,0.0
combined,frozenlake_4x4,1.0,0.0,0.0,0.3990259047635524,6.0,0.0
combined,frozenlake_8x8,0.9,0.3051285766293646,0.1091888588481064,0.3235328516946106,13.166666666666666,0.0
combined,frozenlake_8x8_stochastic,0.0081333333333333,0.0052505062700613,0.0018788695386574,0.0031169717020764,14.568466666666668,0.3413231662680875
ltm,custom_loop,0.0333333333333333,0.1825741858350553,0.0653333333333333,0.0050632166666666,97.13333333333334,0.9666666666666668
ltm,frozenlake_4x4,1.0,0.0,0.0,0.3769994005257649,6.066666666666666,0.0
ltm,frozenlake_8x8,0.4333333333333333,0.5040069329937308,0.1803565646752452,0.1342020794500518,62.93333333333333,0.5666666666666667
ltm,frozenlake_8x8_stochastic,0.3032666666666666,0.1465751386298775,0.0524512397340601,0.0515709931693414,82.30619999999999,0.6489863771891557
qlearning,custom_loop,0.0,0.0,0.0,3.3333333333333333e-06,100.0,1.0
qlearning,frozenlake_4x4,1.0,0.0,0.0,0.3996321740077873,6.0,0.0
qlearning,frozenlake_8x8,0.1666666666666666,0.3790490217894517,0.1356409504277753,0.0537691711167185,85.66666666666667,0.8333333333333334
qlearning,frozenlake_8x8_stochastic,0.2622,0.1587497271243921,0.0568078602752952,0.0528735945724756,80.99593333333334,0.6547785134288919
stm,custom_loop,0.0,0.0,0.0,3.3333333333333333e-06,2.0,0.0
stm,frozenlake_4x4,1.0,0.0,0.0,0.3985517388318052,6.0,0.0
stm,frozenlake_8x8,0.6666666666666666,0.4794633014853841,0.1715737389367041,0.1958446324221123,11.066666666666666,0.0
stm,frozenlake_8x8_stochastic,0.0044,0.0033383869737055,0.0011946264361042,0.0024036975196789,13.92426666666667,0.3292413834405619
