final_success_rate,learning_curve_auc,rolling_auc,normalized_rolling_auc,avg_training_return,avg_training_length,avg_repeated_state_rate,avg_unique_states,training_time,evaluation_return_mean,evaluation_episode_length_mean,evaluation_success_length_mean,evaluation_failed_length_mean,evaluation_repeated_state_rate_mean,evaluation_inference_time_mean,checkpoint_500,checkpoint_1000,checkpoint_2000,checkpoint_5000,checkpoint_10000,algorithm,environment,seed
1.0,4148.0,4057.008749529105,0.4057008749529105,0.4148,7.0107,0.25391844479657555,5.6408,0.29777338315034285,1.0,6.0,6.0,0.0,0.0,1.824714837130159e-05,0.018,0.024,0.044,0.1482,0.4148,qlearning,frozenlake_4x4,0
1.0,4119.5,4028.3460525406344,0.40283460525406345,0.412,7.1871,0.2552768301700202,5.7238,0.3100602527265437,1.0,6.0,6.0,0.0,0.0,1.8801156664267183e-05,0.02,0.021,0.038,0.1418,0.412,qlearning,frozenlake_4x4,1
1.0,4106.5,4015.258321311443,0.4015258321311443,0.4107,7.1515,0.25415874506833436,5.6982,0.3077202317654155,1.0,6.0,6.0,0.0,0.0,1.8674357561394573e-05,0.022,0.026,0.038,0.1414,0.4107,qlearning,frozenlake_4x4,2
1.0,4118.5,4026.3405108682123,0.4026340510868212,0.4119,7.1536,0.2545908084378235,5.7249,0.3042212608270347,1.0,6.0,6.0,0.0,0.0,1.7852658173069358e-05,0.018,0.025,0.041,0.1444,0.4119,qlearning,frozenlake_4x4,3
1.0,4071.5,3977.9963771505345,0.39779963771505344,0.4072,7.1209,0.2531323294893317,5.6924,0.30474166630301625,1.0,6.0,6.0,0.0,0.0,1.8011277308687566e-05,0.01,0.023,0.037,0.1436,0.4072,qlearning,frozenlake_4x4,4
1.0,3976.5,3888.6157162763684,0.38886157162763685,0.3977,7.162,0.2573488245989299,5.6778,0.30504518118686974,1.0,6.0,6.0,0.0,0.0,1.7572104115970433e-05,0.022,0.023,0.035,0.1318,0.3977,qlearning,frozenlake_4x4,5
1.0,4174.5,4083.619331660482,0.40836193316604824,0.4175,7.0512,0.2531460451163477,5.679,0.30356108903652057,1.0,6.0,6.0,0.0,0.0,1.7675676033832134e-05,0.014,0.018,0.0375,0.15,0.4175,qlearning,frozenlake_4x4,6
1.0,4096.5,4007.852072147339,0.40078520721473393,0.4097,7.017,0.2516671852415141,5.6574,0.32999677158659324,1.0,6.0,6.0,0.0,0.0,1.777476689312607e-05,0.016,0.027,0.0475,0.1512,0.4097,qlearning,frozenlake_4x4,7
1.0,4158.5,4065.072459023021,0.4065072459023021,0.4159,6.982,0.25251135418664666,5.6491,0.29854484571842477,1.0,6.0,6.0,0.0,0.0,1.8085033167153598e-05,0.018,0.031,0.05,0.1622,0.4159,qlearning,frozenlake_4x4,8
1.0,4122.5,4027.494926122985,0.4027494926122985,0.4123,7.1803,0.2559791566748174,5.7157,0.30800741887651384,1.0,6.0,6.0,0.0,0.0,1.7839892650954425e-05,0.014,0.028,0.043,0.141,0.4123,qlearning,frozenlake_4x4,9
