algorithm,environment,seed,state,action
qlearning,frozenlake_4x4,0,0,1
qlearning,frozenlake_4x4,0,1,2
qlearning,frozenlake_4x4,0,2,1
qlearning,frozenlake_4x4,0,3,0
qlearning,frozenlake_4x4,0,4,1
qlearning,frozenlake_4x4,0,5,0
qlearning,frozenlake_4x4,0,6,1
qlearning,frozenlake_4x4,0,7,0
qlearning,frozenlake_4x4,0,8,2
qlearning,frozenlake_4x4,0,9,1
qlearning,frozenlake_4x4,0,10,1
qlearning,frozenlake_4x4,0,11,0
qlearning,frozenlake_4x4,0,12,0
qlearning,frozenlake_4x4,0,13,2
qlearning,frozenlake_4x4,0,14,2
qlearning,frozenlake_4x4,0,15,0
qlearning,frozenlake_4x4,1,0,1
qlearning,frozenlake_4x4,1,1,2
qlearning,frozenlake_4x4,1,2,1
qlearning,frozenlake_4x4,1,3,0
qlearning,frozenlake_4x4,1,4,1
qlearning,frozenlake_4x4,1,5,0
qlearning,frozenlake_4x4,1,6,1
qlearning,frozenlake_4x4,1,7,0
qlearning,frozenlake_4x4,1,8,2
qlearning,frozenlake_4x4,1,9,1
qlearning,frozenlake_4x4,1,10,1
qlearning,frozenlake_4x4,1,11,0
qlearning,frozenlake_4x4,1,12,0
qlearning,frozenlake_4x4,1,13,2
qlearning,frozenlake_4x4,1,14,2
qlearning,frozenlake_4x4,1,15,0
qlearning,frozenlake_4x4,2,0,1
qlearning,frozenlake_4x4,2,1,2
qlearning,frozenlake_4x4,2,2,1
qlearning,frozenlake_4x4,2,3,0
qlearning,frozenlake_4x4,2,4,1
qlearning,frozenlake_4x4,2,5,0
qlearning,frozenlake_4x4,2,6,1
qlearning,frozenlake_4x4,2,7,0
qlearning,frozenlake_4x4,2,8,2
qlearning,frozenlake_4x4,2,9,1
qlearning,frozenlake_4x4,2,10,1
qlearning,frozenlake_4x4,2,11,0
qlearning,frozenlake_4x4,2,12,0
qlearning,frozenlake_4x4,2,13,2
qlearning,frozenlake_4x4,2,14,2
qlearning,frozenlake_4x4,2,15,0
qlearning,frozenlake_4x4,3,0,1
qlearning,frozenlake_4x4,3,1,2
qlearning,frozenlake_4x4,3,2,1
qlearning,frozenlake_4x4,3,3,0
qlearning,frozenlake_4x4,3,4,1
qlearning,frozenlake_4x4,3,5,0
qlearning,frozenlake_4x4,3,6,1
qlearning,frozenlake_4x4,3,7,0
qlearning,frozenlake_4x4,3,8,2
qlearning,frozenlake_4x4,3,9,1
qlearning,frozenlake_4x4,3,10,1
qlearning,frozenlake_4x4,3,11,0
qlearning,frozenlake_4x4,3,12,0
qlearning,frozenlake_4x4,3,13,2
qlearning,frozenlake_4x4,3,14,2
qlearning,frozenlake_4x4,3,15,0
qlearning,frozenlake_4x4,4,0,1
qlearning,frozenlake_4x4,4,1,2
qlearning,frozenlake_4x4,4,2,1
qlearning,frozenlake_4x4,4,3,0
qlearning,frozenlake_4x4,4,4,1
qlearning,frozenlake_4x4,4,5,0
qlearning,frozenlake_4x4,4,6,1
qlearning,frozenlake_4x4,4,7,0
qlearning,frozenlake_4x4,4,8,2
qlearning,frozenlake_4x4,4,9,1
qlearning,frozenlake_4x4,4,10,1
qlearning,frozenlake_4x4,4,11,0
qlearning,frozenlake_4x4,4,12,0
qlearning,frozenlake_4x4,4,13,2
qlearning,frozenlake_4x4,4,14,2
qlearning,frozenlake_4x4,4,15,0
qlearning,frozenlake_4x4,5,0,1
qlearning,frozenlake_4x4,5,1,2
qlearning,frozenlake_4x4,5,2,1
qlearning,frozenlake_4x4,5,3,0
qlearning,frozenlake_4x4,5,4,1
qlearning,frozenlake_4x4,5,5,0
qlearning,frozenlake_4x4,5,6,1
qlearning,frozenlake_4x4,5,7,0
qlearning,frozenlake_4x4,5,8,2
qlearning,frozenlake_4x4,5,9,1
qlearning,frozenlake_4x4,5,10,1
qlearning,frozenlake_4x4,5,11,0
qlearning,frozenlake_4x4,5,12,0
qlearning,frozenlake_4x4,5,13,2
qlearning,frozenlake_4x4,5,14,2
qlearning,frozenlake_4x4,5,15,0
qlearning,frozenlake_4x4,6,0,1
qlearning,frozenlake_4x4,6,1,2
qlearning,frozenlake_4x4,6,2,1
qlearning,frozenlake_4x4,6,3,0
qlearning,frozenlake_4x4,6,4,1
qlearning,frozenlake_4x4,6,5,0
qlearning,frozenlake_4x4,6,6,1
qlearning,frozenlake_4x4,6,7,0
qlearning,frozenlake_4x4,6,8,2
qlearning,frozenlake_4x4,6,9,1
qlearning,frozenlake_4x4,6,10,1
qlearning,frozenlake_4x4,6,11,0
qlearning,frozenlake_4x4,6,12,0
qlearning,frozenlake_4x4,6,13,2
qlearning,frozenlake_4x4,6,14,2
qlearning,frozenlake_4x4,6,15,0
qlearning,frozenlake_4x4,7,0,1
qlearning,frozenlake_4x4,7,1,2
qlearning,frozenlake_4x4,7,2,1
qlearning,frozenlake_4x4,7,3,0
qlearning,frozenlake_4x4,7,4,1
qlearning,frozenlake_4x4,7,5,0
qlearning,frozenlake_4x4,7,6,1
qlearning,frozenlake_4x4,7,7,0
qlearning,frozenlake_4x4,7,8,2
qlearning,frozenlake_4x4,7,9,1
qlearning,frozenlake_4x4,7,10,1
qlearning,frozenlake_4x4,7,11,0
qlearning,frozenlake_4x4,7,12,0
qlearning,frozenlake_4x4,7,13,2
qlearning,frozenlake_4x4,7,14,2
qlearning,frozenlake_4x4,7,15,0
qlearning,frozenlake_4x4,8,0,1
qlearning,frozenlake_4x4,8,1,2
qlearning,frozenlake_4x4,8,2,1
qlearning,frozenlake_4x4,8,3,0
qlearning,frozenlake_4x4,8,4,1
qlearning,frozenlake_4x4,8,5,0
qlearning,frozenlake_4x4,8,6,1
qlearning,frozenlake_4x4,8,7,0
qlearning,frozenlake_4x4,8,8,2
qlearning,frozenlake_4x4,8,9,1
qlearning,frozenlake_4x4,8,10,1
qlearning,frozenlake_4x4,8,11,0
qlearning,frozenlake_4x4,8,12,0
qlearning,frozenlake_4x4,8,13,2
qlearning,frozenlake_4x4,8,14,2
qlearning,frozenlake_4x4,8,15,0
qlearning,frozenlake_4x4,9,0,1
qlearning,frozenlake_4x4,9,1,2
qlearning,frozenlake_4x4,9,2,1
qlearning,frozenlake_4x4,9,3,0
qlearning,frozenlake_4x4,9,4,1
qlearning,frozenlake_4x4,9,5,0
qlearning,frozenlake_4x4,9,6,1
qlearning,frozenlake_4x4,9,7,0
qlearning,frozenlake_4x4,9,8,2
qlearning,frozenlake_4x4,9,9,1
qlearning,frozenlake_4x4,9,10,1
qlearning,frozenlake_4x4,9,11,0
qlearning,frozenlake_4x4,9,12,0
qlearning,frozenlake_4x4,9,13,2
qlearning,frozenlake_4x4,9,14,2
qlearning,frozenlake_4x4,9,15,0
qlearning,frozenlake_4x4,10,0,1
qlearning,frozenlake_4x4,10,1,2
qlearning,frozenlake_4x4,10,2,1
qlearning,frozenlake_4x4,10,3,0
qlearning,frozenlake_4x4,10,4,1
qlearning,frozenlake_4x4,10,5,0
qlearning,frozenlake_4x4,10,6,1
qlearning,frozenlake_4x4,10,7,0
qlearning,frozenlake_4x4,10,8,2
qlearning,frozenlake_4x4,10,9,1
qlearning,frozenlake_4x4,10,10,1
qlearning,frozenlake_4x4,10,11,0
qlearning,frozenlake_4x4,10,12,0
qlearning,frozenlake_4x4,10,13,2
qlearning,frozenlake_4x4,10,14,2
qlearning,frozenlake_4x4,10,15,0
qlearning,frozenlake_4x4,11,0,1
qlearning,frozenlake_4x4,11,1,2
qlearning,frozenlake_4x4,11,2,1
qlearning,frozenlake_4x4,11,3,0
qlearning,frozenlake_4x4,11,4,1
qlearning,frozenlake_4x4,11,5,0
qlearning,frozenlake_4x4,11,6,1
qlearning,frozenlake_4x4,11,7,0
qlearning,frozenlake_4x4,11,8,2
qlearning,frozenlake_4x4,11,9,1
qlearning,frozenlake_4x4,11,10,1
qlearning,frozenlake_4x4,11,11,0
qlearning,frozenlake_4x4,11,12,0
