algorithm,environment,training_repeat_rate_mean,training_repeat_rate_std,evaluation_repeat_rate_mean,evaluation_repeat_rate_std,repeat_window_size
combined,custom_loop,0.21747605802248357,0.24760042791363635,0.0,0.0,10
combined,frozenlake_4x4,0.2584407436750329,0.2361392489050372,0.0,0.0,10
combined,frozenlake_8x8,0.29752165199603914,0.20112536514401633,0.0,0.0,10
combined,frozenlake_8x8_stochastic,0.4317108847487872,0.17573756986400096,0.34132316626808745,0.17582555536862177,10
ltm,custom_loop,0.6836532965191708,0.2516877562576783,0.9666666666666667,0.1795114773867944,10
ltm,frozenlake_4x4,0.28952134658402856,0.25219226147259455,0.0,0.0,10
ltm,frozenlake_8x8,0.5849596638247603,0.2698109213924282,0.5666666666666667,0.4955521435907196,10
ltm,frozenlake_8x8_stochastic,0.5566318690339999,0.1450060280652787,0.6489863771891557,0.11049229372412447,10
qlearning,custom_loop,0.6944109203103741,0.24374700467531657,1.0,0.0,10
qlearning,frozenlake_4x4,0.25443188968655756,0.23545101499673474,0.0,0.0,10
qlearning,frozenlake_8x8,0.67995489263732,0.23592866128511522,0.8333333333333334,0.3726904194710037,10
qlearning,frozenlake_8x8_stochastic,0.5634548209976262,0.14157526053924757,0.6547785134288919,0.12200368429148709,10
stm,custom_loop,0.21611159330794524,0.248210447311093,0.0,0.0,10
stm,frozenlake_4x4,0.2531402338780844,0.23306094651968376,0.0,0.0,10
stm,frozenlake_8x8,0.2736121364562985,0.20464527071187819,0.0,0.0,10
stm,frozenlake_8x8_stochastic,0.42407162548974275,0.17596804686553558,0.3292413834405619,0.17266231880916338,10
