environment,method_a,method_b,metric,mean_difference,wilcoxon_statistic,raw_p_value,effect_size,adjusted_p_value,significant
frozenlake_4x4,stm,qlearning,final_success_rate,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,ltm,qlearning,final_success_rate,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,qlearning,final_success_rate,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,stm,final_success_rate,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,ltm,final_success_rate,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,stm,qlearning,rolling_auc,-10.80435175982046,190.0,0.39305018074810505,-0.5913978494623655,1.0,False
frozenlake_4x4,ltm,qlearning,rolling_auc,-226.32773482022378,0.0,1.862645149230957e-09,-1.0,1.862645149230957e-07,True
frozenlake_4x4,combined,qlearning,rolling_auc,-6.062692442349059,193.0,0.42795460671186447,-0.5849462365591398,1.0,False
frozenlake_4x4,combined,stm,rolling_auc,4.741659317471401,198.0,0.4898460879921913,-0.4258064516129032,1.0,False
frozenlake_4x4,combined,ltm,rolling_auc,220.2650423778747,0.0,1.862645149230957e-09,0.0,1.8440186977386475e-07,True
frozenlake_4x4,stm,qlearning,evaluation_repeated_state_rate_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,ltm,qlearning,evaluation_repeated_state_rate_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,qlearning,evaluation_repeated_state_rate_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,stm,evaluation_repeated_state_rate_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,ltm,evaluation_repeated_state_rate_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,stm,qlearning,evaluation_success_length_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,ltm,qlearning,evaluation_success_length_mean,0.06666666666666667,0.0,0.31731050786291415,0.0,1.0,False
frozenlake_4x4,combined,qlearning,evaluation_success_length_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,stm,evaluation_success_length_mean,0.0,0.0,1.0,0.0,1.0,False
frozenlake_4x4,combined,ltm,evaluation_success_length_mean,-0.06666666666666667,0.0,0.31731050786291415,-1.0,1.0,False
frozenlake_4x4,stm,qlearning,evaluation_failed_length_mean,0.0,0.0,1.0,0.0,1.0,False
